Name,Address,Rating,Website,Price,City,State
Hilton Miami Downtown,"1601 Biscayne Blvd, Miami, FL 33132, USA",4.2,https://www.hilton.com/en/hotels/miadthf-hilton-miami-downtown/?SEO_id=GMB-AMER-HH-MIADTHF&y_source=1_MTIyMDgwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,229,Miami,FL
The Meridian Hotel,"418 Meridian Ave, Miami Beach, FL 33139, USA",4.2,https://themeridianmiami.com/,184,Miami,FL
The Cove by Renzzi,"534 Washington Ave, Miami Beach, FL 33139, USA",3.6,https://thecovebyrenzzi.com/book-now/,100,Miami,FL
Century Hotel,"140 Ocean Dr, Miami Beach, FL 33139, USA",3.5,http://www.centurymiamibeach.com/,178,Miami,FL
Casa Ocean,"334 Ocean Dr, Miami Beach, FL 33139, USA",4.5,https://www.casahotelsgroup.com/casa-ocean,152,Miami,FL
Miami River Inn,"437 SW 2nd St, Miami, FL 33130, USA",4.1,,137,Miami,FL
The Palms Hotel & Spa,"3025 Collins Ave, Miami Beach, FL 33140, USA",4.4,https://www.thepalmshotel.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,131,Miami,FL
"Royal Palm South Beach Miami, a Tribute Portfolio Resort","1545 Collins Ave, Miami Beach, FL 33139, USA",3.9,https://www.marriott.com/en-us/hotels/miatx-royal-palm-south-beach-miami-a-tribute-portfolio-resort/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,186,Miami,FL
Omni Dallas Hotel,"555 S Lamar St, Dallas, TX 75202, USA",4.5,https://www.omnihotels.com/hotels/dallas?utm_source=gmblisting&utm_medium=organic,197,Dallas,TX
"The Ritz-Carlton, Dallas","2121 McKinney Ave, Dallas, TX 75201, USA",4.7,https://www.ritzcarlton.com/en/hotels/dalrz-the-ritz-carlton-dallas/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,220,Dallas,TX
Hilton Garden Inn Downtown Dallas,"1600 Pacific Ave, Dallas, TX 75201, USA",4.2,https://www.hilton.com/en/hotels/dalpagi-hilton-garden-inn-downtown-dallas/?SEO_id=GMB-AMER-GI-DALPAGI&y_source=1_MjcyMzA5NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,102,Dallas,TX
Aloft Dallas Downtown,"1033 Young St, Dallas, TX 75202, USA",4.2,https://www.marriott.com/en-us/hotels/daldl-aloft-dallas-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,164,Dallas,TX
"Crowne Plaza Dallas Downtown, an IHG Hotel","1015 Elm St, Dallas, TX 75202, USA",2.6,https://www.ihg.com/crowneplaza/hotels/us/en/dallas/dalem/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-US-_-DALEM,199,Dallas,TX
CANVAS Hotel,"1325 Botham Jean Blvd, Dallas, TX 75215, USA",4.1,https://www.canvashoteldallas.com/,148,Dallas,TX
"Crowne Plaza Dallas Love Field - Med Area, an IHG Hotel","7050 N Stemmons Fwy, Dallas, TX 75247, USA",3.4,https://www.ihg.com/crowneplaza/hotels/us/en/dallas/dalmt/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-US-_-DALMT,208,Dallas,TX
Rosewood Mansion on Turtle Creek,"2821 Turtle Creek Blvd, Dallas, TX 75219, USA",4.7,https://www.rosewoodhotels.com/en/mansion-on-turtle-creek-dallas,105,Dallas,TX
"Thompson Dallas, by Hyatt","205 N Akard St, Dallas, TX 75201, USA",4.4,https://www.hyatt.com/thompson-hotels/en-US/dfwth-thompson-dallas?src=corp_lclb_google_seo_dfwth&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,90,Dallas,TX
Comfort Suites NW Dallas Near Love Field,"2287 W Northwest Hwy, Dallas, TX 75220, USA",3.6,https://www.choicehotels.com/texas/dallas/comfort-suites-hotels/tx627?mc=llgoxxpx,93,Dallas,TX
Motto by Hilton Washington DC City Center,"627 H St NW, Washington, DC 20001, USA",4.4,https://www.hilton.com/en/hotels/wasuaua-motto-washington-dc-city-center/?SEO_id=GMB-AMER-UA-WASUAUA&y_source=1_MTYyODg3ODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,135,Washington DC,DC
Washington Plaza Hotel,"10 Thomas Cir NW, Washington, DC 20005, USA",4.2,https://www.washingtonplazahotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,163,Washington DC,DC
Omni Shoreham Hotel,"2500 Calvert St NW, Washington, DC 20008, USA",4.2,https://www.omnihotels.com/hotels/washington-dc-shoreham?utm_source=gmblisting&utm_medium=organic,215,Washington DC,DC
Capital Hilton,"1001 16th St NW, Washington, DC 20036, USA",4.3,https://www.hilton.com/en/hotels/dcashhh-capital-hilton/?SEO_id=GMB-AMER-HH-DCASHHH&y_source=1_MTIyMDc2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,178,Washington DC,DC
Hilton Garden Inn Washington DC/U.S. Capitol,"1225 First St NE, Washington, DC 20002, USA",3.8,https://www.hilton.com/en/hotels/dcanmgi-hilton-garden-inn-washington-dc-us-capitol/?SEO_id=GMB-AMER-GI-DCANMGI&y_source=1_MjA4MjE4Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,239,Washington DC,DC
Hyatt Place Washington DC/US Capitol,"33 New York Ave NE, Washington, DC 20002, USA",3.7,https://www.hyatt.com/hyatt-place/en-US/waszd-hyatt-place-washington-dc-us-capitol?src=corp_lclb_google_seo_waszd&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,248,Washington DC,DC
citizenM Washington DC Capitol,"550 School St SW, Washington, DC 20024, USA",4.2,https://www.citizenm.com/hotels/united-states/washington-dc/washington-dc-capitol-hotel?utm_source=google&utm_medium=Yext&y_source=1_NDkyNzM5MTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,196,Washington DC,DC
"The Westin Washington, D.C. City Center","1400 M St NW, Washington, DC 20005, USA",4.1,https://www.marriott.com/en-us/hotels/wascw-the-westin-washington-dc-city-center/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,182,Washington DC,DC
Sofitel Washington DC Lafayette Square,"806 15th St NW, Washington, DC 20005, USA",4.4,http://sofitel.accor.com/hotels/3293?merchantid=seo-maps-US-3293&sourceid=aw-cen&utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps&utm_term=Sofitel-Launch,199,Washington DC,DC
Generator Washington DC,"1900 Connecticut Ave NW, Washington, DC 20009, USA",4.3,https://staygenerator.com/hotels/washington-dc?utm_source=google-my-business&utm_medium=organic&utm_campaign=hostel-washington,220,Washington DC,DC
Hyatt Regency Orlando,"9801 International Dr, Orlando, FL 32819, USA",4.6,https://www.hyatt.com/hyatt-regency/en-US/mcoro-hyatt-regency-orlando?src=corp_lclb_google_seo_mcoro&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,156,Orlando,FL
Rosen Inn International,"7600 International Dr, Orlando, FL 32819, USA",4.1,https://roseninn7600.com/?utm_source=kiksmedia,104,Orlando,FL
Best Western Orlando Gateway Hotel,"7299 Universal Blvd, Orlando, FL 32819, USA",4,https://www.bworlando.com/,209,Orlando,FL
SureStay Plus By Best Western Orlando International Drive,"5859 American Way, Orlando, FL 32819, USA",3.6,https://www.bestwestern.com/en_US/book/hotel-rooms.55151.html?iata=90000026&ssob=BLSSH0004G&cid=BLSSH0004G:google:gmb:55151,166,Orlando,FL
Rosen Inn at Pointe Orlando,"9000 International Dr, Orlando, FL 32819, USA",4.1,https://www.roseninn9000.com/?utm_source=kiksmedia,194,Orlando,FL
"Garnet Inn & Suites, Orlando","8820 S Orange Blossom Trl, Orlando, FL 32809, USA",3,http://www.garnetinn.com/orlando/,113,Orlando,FL
Universal Endless Summer Resort - Dockside Inn and Suites,"7125 Universal Blvd, Orlando, FL 32819, USA",4.4,https://www.universalorlando.com/web/en/us/places-to-stay/universals-endless-summer-resort-dockside-inn-and-suites,175,Orlando,FL
DoubleTree by Hilton Hotel at the Entrance to Universal Orlando,"5780 Major Blvd, Orlando, FL 32819, USA",4.1,https://www.hilton.com/en/hotels/mcoundt-doubletree-at-the-entrance-to-universal-orlando/?SEO_id=GMB-AMER-DT-MCOUNDT&y_source=1_MTM3Mjc1Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,135,Orlando,FL
"Holiday Inn Express & Suites Nearest Universal Orlando, an IHG Hotel","5605 Major Blvd, Orlando, FL 32819, USA",4,https://www.ihg.com/holidayinnexpress/hotels/us/en/orlando/mcomb/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-MCOMB,223,Orlando,FL
Comfort Suites Near Universal Orlando Resort,"5617 Major Blvd, Orlando, FL 32819, USA",4.3,https://www.choicehotels.com/florida/orlando/comfort-suites-hotels/fl616?mc=llgoxxpx,176,Orlando,FL
Hilton San Diego Bayfront,"1 Park Blvd, San Diego, CA 92101, USA",4.3,https://www.hilton.com/en/hotels/sancchh-hilton-san-diego-bayfront/?SEO_id=GMB-AMER-HH-SANCCHH&y_source=1_MTIyMDc1MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,143,San Diego,CA
The Dana on Mission Bay,"1710 W Mission Bay Dr, San Diego, CA 92109, USA",4.3,https://www.thedana.com/,120,San Diego,CA
The Westgate Hotel,"1055 Second Ave, San Diego, CA 92101, USA",4.4,https://www.westgatehotel.com/,122,San Diego,CA
Samesun Ocean Beach - San Diego,"4961 Newport Ave, San Diego, CA 92107, USA",4.6,https://samesun.com/ocean-beach/,130,San Diego,CA
The Sofia Hotel,"150 W Broadway, San Diego, CA 92101, USA",4,http://thesofiahotel.com/,225,San Diego,CA
